"标识","品牌","MPN码","规格","","插件位置","底数","数量","单位","承样状态","创建时间"
"301010676, SMD RES 1M-5%-1/20W;0201, A.3 (Design)","YAGEO","RC0201JR-071ML","","","R135 R138 R140 R142 R157 R159 R161 R163 R165 R167 R199 R206 R208 R210 R212 R214 R216 R218 R220 R222 R224 R226","1","22","PCS","无需承样","2015/10/31 16:02  CST"
"301010677, SMD RES;4.7K-5%-1/20W;0201, A.1 (Design)","YAGEO","RC0201JR-074K7L","","","R19 R22 R23 R28 R29 R30 R41 R42 R43 R45 R46 R47 R48 R57 R58 R59 R60 R63 R64 R65 R66","1","21","PCS","未承样","2015/10/31 16:02  CST"
"301010746, SMD RES 2.2K-1%-1/16W;0402, A.1 (Design)","YAGEO","RC0402FR-072K2L","","","R155","1","1","PCS","未承样","2015/10/31 16:54  CST"
"301010765, SMD RES 100K-±1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-07100KL","","","R44 R115 R119 R122 R172 R174 R181 R183 R184 R227 R673 R800 R810 R811 R813 R814 R815 R816","1","18","PCS","无需承样","2015/10/31 15:51  CST"
"301010817, SMD RES 1.62K-1%-1/20W;0201, A.3 (Design)","YAGEO","RC0201FR-071K62L","","","R94 R105 R114 R120 R755","1","5","PCS","无需承样","2015/10/31 17:01  CST"
"301010856, SMD RES 2.49K-1%-1/16W;0402, A.2 (Design)","YAGEO","RC0402FR-072K49L","","","R104","1","1","PCS","无需承样","2015/11/09 14:39  CST"
"301010860, SMD RES 124K-1%-1/16W;0402, A.2 (Design)","YAGEO","RC0402FR-07124KL","","","R102","1","1","PCS","无需承样","2015/11/09 14:42  CST"
"301011226, SMD RES 560K-1%-1/16W;0402, A.1 (Design)","YAGEO","RC0402FR-07560KL","","","R101","1","1","PCS","无需承样","2016/03/01 16:17  CST"
"301011318, SMD RES 240R-1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-07240RL","","","R3 R4 R8 R9","1","4","PCS","无需承样","2016/03/31 18:53  CST"
"301011323, SMD RES 120R-1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-07120RL","","","R11 R16 R35","1","3","PCS","无需承样","2016/03/31 19:01  CST"
"301011530, SMD RES 27R-1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-0727RL","","","R80 R81 R82 R89 R95 R96","1","6","PCS","无需承样","2016/08/12 14:10  CST"
"301012651, SMD RES 47K-1%-1/20W;0201, A.2 (Design)","Yageo","RC0201FR-0747KL","","","R20 R151 R152 R153 R154","1","5","PCS","无需承样","2019/05/10 11:09  CST"
"301013351, SMD RES 200R-1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-07200RL","","","R25 R751 R752 R753 R754","1","5","PCS","无需承样","2022/03/23 11:34  CST"
